Variation of NA 

Porph Concentration: 1.000000e-06
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 9.859748e+06	 1.273961e+06	 3.777042e+10	 4.880252e+09

Porph Concentration: 2.500000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 6.400029e+07	 8.269369e+06	 2.451703e+11	 3.167805e+10
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 2.134631e+08	 2.758120e+07	 8.177278e+11	 1.056572e+11
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 2.394717e+08	 3.094174e+07	 9.173609e+11	 1.185307e+11
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 1.187362e+08	 1.534170e+07	 4.548509e+11	 5.877052e+10
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 6.062224e+07	 7.832897e+06	 2.322298e+11	 3.000602e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 3.265850e+07	 4.219749e+06	 1.251072e+11	 1.616489e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 1.961764e+07	 2.534762e+06	 7.515064e+10	 9.710088e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 1.232469e+07	 1.592452e+06	 4.721303e+10	 6.100316e+09

Porph Concentration: 3.000000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 7.680034e+07	 9.923243e+06	 2.942044e+11	 3.801365e+10
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 2.561557e+08	 3.309744e+07	 9.812734e+11	 1.267887e+11
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 2.873661e+08	 3.713008e+07	 1.100833e+12	 1.422368e+11
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 1.424834e+08	 1.841004e+07	 5.458211e+11	 7.052462e+10
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 7.274669e+07	 9.399476e+06	 2.786758e+11	 3.600723e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 3.919020e+07	 5.063699e+06	 1.501286e+11	 1.939786e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 2.354116e+07	 3.041714e+06	 9.018077e+10	 1.165211e+10
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 1.478962e+07	 1.910942e+06	 5.665563e+10	 7.320379e+09

Porph Concentration: 3.500000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 8.960040e+07	 1.157712e+07	 3.432385e+11	 4.434926e+10
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 2.988483e+08	 3.861368e+07	 1.144819e+12	 1.479201e+11
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 3.352604e+08	 4.331843e+07	 1.284305e+12	 1.659429e+11
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 1.662307e+08	 2.147838e+07	 6.367913e+11	 8.227873e+10
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 8.487113e+07	 1.096606e+07	 3.251217e+11	 4.200843e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 4.572189e+07	 5.907649e+06	 1.751500e+11	 2.263084e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 2.746469e+07	 3.548666e+06	 1.052109e+11	 1.359412e+10
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 1.725456e+07	 2.229432e+06	 6.609824e+10	 8.540442e+09

Porph Concentration: 4.000000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 1.024005e+08	 1.323099e+07	 3.922725e+11	 5.068487e+10
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 3.415409e+08	 4.412992e+07	 1.308365e+12	 1.690516e+11
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 3.831547e+08	 4.950678e+07	 1.467778e+12	 1.896490e+11
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 1.899779e+08	 2.454672e+07	 7.277615e+11	 9.403283e+10
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 9.699558e+07	 1.253263e+07	 3.715677e+11	 4.800964e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 5.225359e+07	 6.751598e+06	 2.001715e+11	 2.586382e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 3.138822e+07	 4.055619e+06	 1.202410e+11	 1.553614e+10
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 1.971950e+07	 2.547923e+06	 7.554085e+10	 9.760505e+09

Porph Concentration: 4.500000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 1.152005e+08	 1.488486e+07	 4.413066e+11	 5.702048e+10
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 3.842335e+08	 4.964616e+07	 1.471910e+12	 1.901830e+11
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 4.310491e+08	 5.569512e+07	 1.651250e+12	 2.133552e+11
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 2.137251e+08	 2.761506e+07	 8.187317e+11	 1.057869e+11
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 1.091200e+08	 1.409921e+07	 4.180137e+11	 5.401084e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 5.878529e+07	 7.595548e+06	 2.251929e+11	 2.909679e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 3.531175e+07	 4.562571e+06	 1.352712e+11	 1.747816e+10
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 2.218443e+07	 2.866413e+06	 8.498345e+10	 1.098057e+10

Porph Concentration: 5.000000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 1.280006e+08	 1.653874e+07	 4.903407e+11	 6.335609e+10
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 4.269261e+08	 5.516240e+07	 1.635456e+12	 2.113145e+11
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 4.789434e+08	 6.188347e+07	 1.834722e+12	 2.370613e+11
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 2.374724e+08	 3.068340e+07	 9.097019e+11	 1.175410e+11
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 1.212445e+08	 1.566579e+07	 4.644596e+11	 6.001204e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 6.531699e+07	 8.439498e+06	 2.502143e+11	 3.232977e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 3.923527e+07	 5.069523e+06	 1.503013e+11	 1.942018e+10
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 2.464937e+07	 3.184904e+06	 9.442606e+10	 1.220063e+10
