Variation of NA 

Porph Concentration: 5.000000e-05
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 4.888892e+24	 5.854949e-01	 7.980609e+06	 1.031161e+06	 7.234210e+10	 9.347200e+09
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.113685e+24	 9.555941e-01	 7.132877e+06	 9.216270e+05	 6.465763e+10	 8.354303e+09
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.601515e+25	 1.000000e+00	 4.502296e+06	 5.817341e+05	 4.081212e+10	 5.273264e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.706723e+25	 1.000000e+00	 2.854339e+06	 3.688044e+05	 2.587383e+10	 3.343113e+09

Porph Concentration: 3.000000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 9.546603e+22	 3.210657e-04	 2.522616e+05	 3.259429e+04	 2.286684e+09	 2.954586e+08
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 3.732751e+23	 4.898565e-03	 9.931077e+05	 1.283178e+05	 9.002257e+09	 1.163166e+09
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.045110e+24	 3.783223e-02	 2.773670e+06	 3.583812e+05	 2.514258e+10	 3.248630e+09
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.407324e+24	 1.865750e-01	 6.041687e+06	 7.806361e+05	 5.476628e+10	 7.076258e+09
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 4.888892e+24	 5.854949e-01	 9.576731e+06	 1.237393e+06	 8.681052e+10	 1.121664e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.113685e+24	 9.555941e-01	 8.559452e+06	 1.105952e+06	 7.758916e+10	 1.002516e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.601515e+25	 1.000000e+00	 5.402755e+06	 6.980809e+05	 4.897454e+10	 6.327917e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.706723e+25	 1.000000e+00	 3.425207e+06	 4.425652e+05	 3.104859e+10	 4.011736e+09

Porph Concentration: 3.500000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 9.546603e+22	 3.210657e-04	 2.943051e+05	 3.802667e+04	 2.667798e+09	 3.447016e+08
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 3.732751e+23	 4.898565e-03	 1.158626e+06	 1.497041e+05	 1.050263e+10	 1.357027e+09
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.045110e+24	 3.783223e-02	 3.235949e+06	 4.181114e+05	 2.933301e+10	 3.790069e+09
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.407324e+24	 1.865750e-01	 7.048634e+06	 9.107421e+05	 6.389399e+10	 8.255635e+09
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 4.888892e+24	 5.854949e-01	 1.117285e+07	 1.443625e+06	 1.012789e+11	 1.308608e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.113685e+24	 9.555941e-01	 9.986028e+06	 1.290278e+06	 9.052068e+10	 1.169602e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.601515e+25	 1.000000e+00	 6.303215e+06	 8.144277e+05	 5.713696e+10	 7.382570e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.706723e+25	 1.000000e+00	 3.996075e+06	 5.163261e+05	 3.622336e+10	 4.680359e+09

Porph Concentration: 4.000000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 9.546603e+22	 3.210657e-04	 3.363487e+05	 4.345905e+04	 3.048912e+09	 3.939447e+08
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 3.732751e+23	 4.898565e-03	 1.324144e+06	 1.710903e+05	 1.200301e+10	 1.550888e+09
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.045110e+24	 3.783223e-02	 3.698227e+06	 4.778416e+05	 3.352344e+10	 4.331507e+09
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.407324e+24	 1.865750e-01	 8.055582e+06	 1.040848e+06	 7.302171e+10	 9.435011e+09
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 4.888892e+24	 5.854949e-01	 1.276897e+07	 1.649858e+06	 1.157474e+11	 1.495552e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.113685e+24	 9.555941e-01	 1.141260e+07	 1.474603e+06	 1.034522e+11	 1.336688e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.601515e+25	 1.000000e+00	 7.203674e+06	 9.307745e+05	 6.529939e+10	 8.437223e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.706723e+25	 1.000000e+00	 4.566943e+06	 5.900870e+05	 4.139812e+10	 5.348981e+09

Porph Concentration: 4.500000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 9.546603e+22	 3.210657e-04	 3.783923e+05	 4.889143e+04	 3.430026e+09	 4.431878e+08
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 3.732751e+23	 4.898565e-03	 1.489661e+06	 1.924766e+05	 1.350338e+10	 1.744750e+09
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.045110e+24	 3.783223e-02	 4.160505e+06	 5.375719e+05	 3.771387e+10	 4.872946e+09
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.407324e+24	 1.865750e-01	 9.062530e+06	 1.170954e+06	 8.214942e+10	 1.061439e+10
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 4.888892e+24	 5.854949e-01	 1.436510e+07	 1.856090e+06	 1.302158e+11	 1.682496e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.113685e+24	 9.555941e-01	 1.283918e+07	 1.658929e+06	 1.163837e+11	 1.503775e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.601515e+25	 1.000000e+00	 8.104133e+06	 1.047121e+06	 7.346181e+10	 9.491876e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.706723e+25	 1.000000e+00	 5.137811e+06	 6.638479e+05	 4.657289e+10	 6.017604e+09

Porph Concentration: 5.000000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 9.546603e+22	 3.210657e-04	 4.204359e+05	 5.432382e+04	 3.811140e+09	 4.924309e+08
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 3.732751e+23	 4.898565e-03	 1.655179e+06	 2.138629e+05	 1.500376e+10	 1.938611e+09
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.045110e+24	 3.783223e-02	 4.622784e+06	 5.973021e+05	 4.190430e+10	 5.414384e+09
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.407324e+24	 1.865750e-01	 1.006948e+07	 1.301060e+06	 9.127713e+10	 1.179376e+10
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 4.888892e+24	 5.854949e-01	 1.596122e+07	 2.062322e+06	 1.446842e+11	 1.869440e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.113685e+24	 9.555941e-01	 1.426575e+07	 1.843254e+06	 1.293153e+11	 1.670861e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.601515e+25	 1.000000e+00	 9.004592e+06	 1.163468e+06	 8.162423e+10	 1.054653e+10
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.706723e+25	 1.000000e+00	 5.708679e+06	 7.376087e+05	 5.174765e+10	 6.686227e+09
